			Precision	Recall	F1	IoU
Image 426:	0.0053	0.0002	0.0004	0.0002
Image 427:	0.1120	0.0014	0.0028	0.0014
Image 428:	0.0602	0.0003	0.0006	0.0003
Image 429:	0.1778	0.0030	0.0060	0.0030
Image 430:	0.0000	0.0000	0.0000	0.0000
Image 431:	0.0250	0.0001	0.0002	0.0001
Image 432:	0.4369	0.0022	0.0045	0.0022
Image 433:	0.0847	0.0003	0.0006	0.0003
Image 434:	0.3659	0.0007	0.0014	0.0007
Image 435:	0.4306	0.0026	0.0052	0.0026
Image 436:	0.0556	0.0003	0.0007	0.0003
Image 437:	0.2941	0.0013	0.0025	0.0013
Image 438:	0.5446	0.0259	0.0495	0.0254
Image 439:	0.4521	0.0031	0.0061	0.0030
Image 440:	0.2571	0.0004	0.0007	0.0004
Image 441:	0.3333	0.0015	0.0030	0.0015
Image 442:	0.2037	0.0030	0.0059	0.0030
Image 443:	0.0563	0.0003	0.0005	0.0003
Image 444:	0.2174	0.0016	0.0032	0.0016
Image 445:	0.1818	0.0003	0.0006	0.0003
Image 446:	0.1000	0.0011	0.0022	0.0011
Image 447:	0.0833	0.0017	0.0033	0.0017
Image 448:	0.3559	0.0025	0.0049	0.0025
Image 449:	0.1053	0.0005	0.0010	0.0005
Image 450:	0.0185	0.0000	0.0001	0.0000
Image 451:	0.0000	0.0000	0.0000	0.0000
Image 452:	0.0000	0.0000	0.0000	0.0000
Image 453:	0.0441	0.0002	0.0003	0.0002
Image 454:	0.1236	0.0014	0.0027	0.0014
Image 455:	0.0526	0.0005	0.0009	0.0005
Image 456:	0.0000	0.0000	0.0000	0.0000
Image 457:	0.0559	0.0013	0.0026	0.0013
Image 458:	0.4312	0.0012	0.0024	0.0012
Image 459:	0.1935	0.0085	0.0162	0.0082
Image 460:	0.5361	0.0146	0.0284	0.0144
Image 461:	0.2926	0.0028	0.0056	0.0028
Image 462:	0.0443	0.0004	0.0009	0.0004
Image 463:	0.0949	0.0020	0.0039	0.0019
Image 464:	0.1122	0.0022	0.0043	0.0022
Image 465:	0.0000	0.0000	0.0000	0.0000
Image 466:	0.0357	0.0001	0.0002	0.0001
Image 467:	0.2452	0.0079	0.0153	0.0077
Image 468:	0.0115	0.0001	0.0003	0.0001
Image 469:	0.1181	0.0012	0.0025	0.0012
Image 470:	0.0916	0.0018	0.0035	0.0018
Image 471:	0.0000	0.0000	0.0000	0.0000
Image 472:	0.0943	0.0012	0.0024	0.0012
Image 473:	0.0000	0.0000	0.0000	0.0000
Image 474:	0.0242	0.0041	0.0070	0.0035
Image 475:	0.0600	0.0012	0.0023	0.0011
Image 476:	0.1545	0.0007	0.0013	0.0007
Image 477:	0.3077	0.0034	0.0067	0.0034
Image 478:	0.0677	0.0004	0.0008	0.0004
Image 479:	0.1731	0.0022	0.0044	0.0022
Image 480:	0.1870	0.0229	0.0409	0.0209
Image 481:	0.2564	0.0011	0.0022	0.0011
Image 482:	0.0095	0.0000	0.0000	0.0000
Image 483:	0.1835	0.0018	0.0036	0.0018
Image 484:	0.2511	0.0020	0.0040	0.0020
Image 485:	0.2979	0.0037	0.0073	0.0037
Image 486:	0.0804	0.0017	0.0033	0.0017
